year,PSU,CMU,KKU,MU,CU,KU
2544,125,139,106,443,464,127
2545,161,214,298,483,548,155
2546,185,252,295,507,625,185
2547,187,273,359,576,595,210
2548,297,415,535,833,761,323
2549,277,476,597,733,726,340
2550,373,457,732,718,786,393
2551,391,448,782,764,782,440
2552,413,496,790,865,921,595
2553,380,496,832,842,954,573
2554,416,478,868,945,1036,600
2555,451,537,986,972,1065,634
2556,449,492,875,916,946,698
2557,522,598,1136,1151,979,758
2558,448,576,1073,1137,1014,906
2559,560,632,1075,1176,1081,1000
2560,615,704,1169,1367,1101,1015
2561,690,770,1083,1333,1106,1057
2562,410,563,570,658,828,712
2563,70,57,97,121,97,81
2564,0,0,0,0,0,0
